sid,testname,testcode,price
20,"Acetone, Serum",LDA10097,970
21,Acetylcholine Receptor Auto antibodies,LDA10242,6500
22,Achondroplasia (FGFR3) gene analysis,LDA10400,36000
23,"Acid PhoLDAhatase, Total",LDA10071,350
24,Activated Partial Thromboplastin Time - APTT/ PTTK),LDA10003,500
25,Activated Protein C - Resistance - APCR,LDA10100,5550
26,Acute Leukaemia -Basic lineage (Flowcytometry),LDA10066,6650
27,Acute Leukaemia Comprehensive & Karyotype,LDA10003,13000
28,Acute Leukaemia Comprehensive Diagnosis -20 (Flowcytometry) or ALCD-20,LDA10065,9900
29,Acute Leukaemia Comprehensive reflex Panel (AML or ALL)- Panel 1,LDA10037,19800
30,Acute Leukaemia Comprehensive reflex Panel (AML or ALL)-Panel2,LDA10038,25300
31,Acute Leukaemia Comprehensive reflex-ALL or AML Panel -3,LDA10135,19000
32,Acute Leukaemia-MRD Panel (Flowcytometry),LDA10075,11500
33,Acute Lymphoblastic Leukaemia Translocation Panel,LDA10028,6650
34,"Adeno deaminase - ADA, Fluid",LDA10143,600
35,"Adeno deaminase - ADA, PlaLDAa",LDA10098,600
36,"Adeno deaminase - ADA, Serum",LDA10099,600
37,"Adeno Virus, IGG antibody",LDA10369,1950
38,"Adeno Virus, IGM antibody",LDA10370,1950
39,Adenocarcinoma Vs. Mesothelioma (IHC Marker),LDA10061,4000
40,Adenomatous polyposis of the colon (APC) -gene mutation,LDA10225,28000
41,Adenovirus Antibody,LDA10443,7060
42,Adreno  Cortico tropic Hormone - ACTH,LDA10066,1920
43,Adreno  Cortico tropic Hormone Stimulation Test For Cortisol (ACTH Stimulation Test For Cortisol),LDA10080,1920
44,Adult Diffuse Glioma Low Grade (II & III) Panel,LDA10140,15500
45,Advanced Fitness Health Package,LDA10257,4000
46,AFB Culture Rapid - ALDAirates,LDAI10184,1000
47,AFB Culture Rapid - BAL,LDAI10186,1000
48,AFB Culture Rapid - Blood,LDAI10193,1000
49,AFB Culture Rapid - Bone Marrow,LDAI10194,1000
50,AFB Culture Rapid - Bronchial Washings,LDAI10187,1000
51,AFB Culture Rapid - CLDA,LDAI10195,1000
52,AFB Culture Rapid - Endometrial Curetting's,LDAI10190,1000
53,AFB Culture Rapid - Gastric Lavage,LDAI10189,1000
54,AFB Culture Rapid - Laryngeal swab,LDAI10188,1000
55,AFB Culture Rapid - Miscellaneous,LDAI10198,1000
56,AFB Culture Rapid - Ocular Fluid,LDAI10183,1000
57,AFB Culture Rapid - Pericardial Fluid,LDAI10181,1000
58,AFB Culture Rapid - Pleural Fluid,LDAI10179,1000
59,AFB Culture Rapid - Pus,LDAI10178,1000
60,AFB Culture Rapid - Semen,LDAI10185,1000
61,AFB Culture Rapid - LDAutum,LDAI10196,1000
62,AFB Culture Rapid - Stool,LDAI10199,1000
63,AFB Culture Rapid - Swab,LDAI10192,1000
64,AFB Culture Rapid - Synovial Fluid,LDAI10182,1000
65,AFB Culture Rapid - Tissues,LDAI10191,1000
66,AFB Culture Rapid - Urine,LDAI10197,1000
67,AFB LDAeciation,LDA10375,5000
